delta,delta_log2,frequency,density,cumulative_density
30/11,1.4474589769712212,10205,0.000200698039779,0.9634848354094936
3/37,-3.6244908649077936,10128,0.0001991837086606,0.9636840191181542
27/11,1.2954558835261714,10109,0.0001988100425405,0.9638828291606947
31/9,1.784271308944563,10080,0.0001982397100413,0.964081068870736
26/15,0.7935491225325736,9998,0.0001966270457335,0.9642776959164695
15/26,-0.7935491225325738,9957,0.0001958207135795,0.964473516630049
1/39,-5.285402218862249,9953,0.0001957420470279,0.9646692586770769
11/27,-1.2954558835261714,9948,0.0001956437138384,0.9648649023909153
37/5,2.887525270741588,9930,0.0001952897143562,0.9650601921052715
37/3,3.6244908649077936,9906,0.0001948177150466,0.9652550098203181
39,5.285402218862249,9906,0.0001948177150466,0.9654498275353647
31/6,2.36923380966572,9826,0.0001932443840145,0.9656430719193791
9/31,-1.7842713089445628,9765,0.0001920447191025,0.9658351166384816
6/31,-2.36923380966572,9744,0.0001916317197066,0.9660267483581882
5/37,-2.887525270741587,9698,0.0001907270543632,0.9662174754125514
29/9,1.6880559936852595,9406,0.0001849843960961,0.9664024598086476
9/29,-1.6880559936852595,9262,0.0001821524002384,0.966584612208886
36/5,2.84799690655495,8907,0.0001751707437835,0.9667597829526695
5/36,-2.84799690655495,8757,0.0001722207480984,0.9669320037007679
23/16,0.523561956057013,8638,0.0001698804181882,0.9671018841189561
16/23,-0.523561956057013,8627,0.0001696640851713,0.9672715482041274
11/5,1.1375035237499351,8621,0.0001695460853439,0.9674410942894713
37/2,4.209453365628949,8608,0.0001692904190512,0.9676103847085226
35/9,1.9593580155026544,8601,0.0001691527525859,0.9677795374611085
5/11,-1.137503523749935,8574,0.0001686217533625,0.967948159214471
28/15,0.9004643264490856,8553,0.0001682087539666,0.9681163679684376
9/35,-1.9593580155026544,8475,0.0001666747562103,0.9682830427246479
2/37,-4.209453365628949,8441,0.0001660060905217,0.9684490488151697
15/28,-0.9004643264490856,8379,0.0001647867589719,0.9686138355741416
36,5.169925001442312,8339,0.0001640000934558,0.9687778356675975
1/36,-5.169925001442312,8320,0.0001636264273357,0.9689414620949331
31/8,1.954196310386876,8286,0.0001629577616471,0.9691044198565802
8/31,-1.954196310386876,8264,0.0001625250956132,0.9692669449521935
29/13,1.15754127698648,8068,0.0001586704345847,0.9694256153867782
13/29,-1.15754127698648,8003,0.0001573921031211,0.9695830074898992
38,5.247927513443585,7968,0.0001567037707946,0.9697397112606938
1/38,-5.247927513443585,7940,0.0001561531049333,0.9698958643656271
27/14,0.9475325801058644,7791,0.0001532227758861,0.9700490871415133
14/27,-0.9475325801058644,7731,0.000152042777612,0.9702011299191253
